"Date","Price","Open","High","Low","Vol.","Change %"
"10/06/2023","65,926.41","65,546.19","65,927.97","65,122.74","106.38M","0.58%"
"10/05/2023","65,546.19","64,882.30","65,735.05","64,837.05","123.33M","1.02%"
"10/04/2023","64,882.30","65,050.39","65,521.22","64,583.49","103.10M","-0.26%"
"10/03/2023","65,050.39","65,417.44","65,905.11","64,728.10","104.07M","-0.56%"
"10/02/2023","65,417.44","66,500.11","66,726.66","65,417.44","105.55M","-1.63%"
"09/29/2023","66,500.11","66,679.05","67,379.00","66,423.65","108.25M","-0.27%"
"09/28/2023","66,679.05","66,371.27","66,698.47","66,098.16","124.98M","0.46%"
"09/27/2023","66,371.27","66,857.83","67,156.92","66,354.40","113.13M","-0.73%"
"09/26/2023","66,857.83","67,680.65","67,680.65","65,804.57","132.13M","-1.22%"
"09/22/2023","67,680.65","67,430.92","68,012.09","67,430.92","96.58M","0.37%"
"09/21/2023","67,430.92","68,995.31","68,995.31","67,145.31","266.57M","-2.27%"
"09/20/2023","68,995.31","68,041.26","68,995.31","67,898.94","143.32M","1.40%"
"09/19/2023","68,041.26","68,299.44","68,483.41","67,968.35","131.36M","-0.38%"
"09/18/2023","68,299.44","69,029.17","69,197.02","68,122.11","105.23M","-1.06%"
"09/15/2023","69,029.17","68,806.22","69,461.99","68,806.22","302.50M","0.32%"
"09/14/2023","68,806.22","67,777.55","68,806.22","67,777.55","150.16M","1.52%"
"09/13/2023","67,777.55","68,540.41","68,540.41","67,290.61","125.08M","-1.11%"
"09/12/2023","68,540.41","68,518.46","68,635.97","68,046.67","106.28M","0.03%"
"09/11/2023","68,518.46","68,020.84","68,994.61","68,020.84","87.05M","0.73%"
"09/08/2023","68,020.84","67,583.93","68,062.04","67,364.51","118.63M","0.65%"
"09/07/2023","67,583.93","68,754.21","68,754.21","67,539.48","101.43M","-1.70%"
"09/06/2023","68,754.21","69,322.26","69,322.26","68,491.07","114.87M","-0.82%"
"09/05/2023","69,322.26","69,662.43","69,678.32","68,774.02","126.62M","-0.49%"
"09/04/2023","69,662.43","69,604.92","69,987.75","69,570.00","70.91M","0.86%"
"09/01/2023","69,069.25","69,278.44","69,553.56","68,890.56","107.58M","-0.30%"
"08/31/2023","69,278.44","69,390.17","69,581.71","69,209.33","267.81M","-0.34%"
"08/30/2023","69,516.14","69,420.98","69,601.27","69,078.26","114.59M","0.61%"
"08/29/2023","69,093.97","69,290.14","69,383.58","68,785.36","87.47M","-0.40%"
"08/28/2023","69,370.36","68,162.29","69,419.22","68,162.29","63.38M","1.77%"
"08/25/2023","68,162.29","68,637.10","69,080.67","68,162.29","78.94M","-0.69%"
"08/24/2023","68,637.10","68,404.39","69,244.84","68,404.39","97.16M","0.34%"
"08/23/2023","68,404.39","67,797.63","68,479.34","67,796.28","103.81M","0.89%"
"08/22/2023","67,797.63","68,284.71","68,802.87","67,626.96","129.30M","-0.71%"
"08/21/2023","68,284.71","67,620.79","68,534.46","67,611.34","119.04M","0.98%"
"08/18/2023","67,620.79","68,878.76","68,878.76","67,433.85","127.83M","-1.83%"
"08/17/2023","68,878.76","69,342.57","69,795.94","68,632.67","134.94M","-0.67%"
