Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek
2021-09-15,10.0600004196167,10.199999809265137,9.75,9.789999961853027,9.49781894683838,3694424,-3037637.859089262,3694424,-0.8222223164123181,0.0,0.0,0.0,-869071.7879335359,9.913333257039389,50.0,1000.0,9.789999961853027,9.789999961853027,9.789999961853027,0.0,0.0,0.0,0.0,9.913333257039389,10.363333066304524,9.463333447774252,9.07867813170903,0.362962947264613,0.0,0.0,9.75,10.199999809265137,9.974999904632568,4.596525138085515,0.0888888417938409,0.0,0.0,0.0,0.0,0.0,9.789999961853027,9.789999961853027,9.789999961853027,9.789999961853027,0.0,0.0,0.0,-22.616507325982056,1.0,3.022039662729396,-235.87498566044212,-235.87498566044212,0.0,9.974999904632568,9.974999904632568,9.974999904632568,9.974999904632568,0.0,0.0,0.0,0.0,0.0,12.79112873171816,12.709361420055426,4.0,4.0,0.0,8.329999923706055,10.199999809265137,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,8.888884179384096,8.888884179384096,-91.11111582061592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.789999961853027,-23.587498566044214,0.0,0.0,0.0,9.526923179626465,2
2021-09-16,9.850000381469728,9.960000038146973,9.770000457763672,9.81999969482422,9.526923179626465,2465752,-4205642.58478678,6160176,-0.6827146797083038,73971.90157318553,-0.8476070833962178,-0.8476070833962178,-863866.3447078203,9.887982691009604,0.0,1003.0643241152286,9.804999828338625,9.834999561309818,9.775000095367428,0.611927251329247,0.75,0.0,0.0,9.881666660308838,10.201666355133057,9.56166696548462,6.476634070435596,0.4036452745392584,0.0,0.0,9.75,10.199999809265137,9.974999904632568,4.589493290601979,0.1555549433199363,0.0,0.0,0.0023931410917192,0.0004786282183438,0.0019145128733754,9.804999828338625,9.804999828338625,9.794615305387056,9.792222164295335,0.0645748789947893,0.1322245287956167,-0.0676496498008273,0.0005985008037555,1.9053683904981369,3.0070397962438005,-234.70422230619715,-235.28960398331964,0.5853816771224842,9.974999904632568,9.974999904632568,9.974999904632568,9.974999904632568,0.0,0.0,0.0,0.0,-66.66666666666667,12.79112873171816,12.709361420055426,8.0,4.0,4.0,8.329999923706055,10.199999809265137,0.0,0.0,100.0,0.0,0.0,0.0,100.0,7.812388241184742,15.55549433199364,12.222189255688868,-84.44450566800636,0.0,0.0,0.0244392033959893,0.0048878406791978,0.0195513627167914,-2.7200259350321607,-0.5440051870064322,-2.1760207480257288,9.810891869471996,0.3064324115228611,0.3059638643516216,0.3064324115228611,-0.3064306968893362,9.090353965759276,3
2021-09-17,9.550000190734863,9.640000343322754,9.289999961853027,9.369999885559082,9.090353965759276,6612214,-7795136.361986905,-452038,-0.6103114892347403,-361666.2327687378,-2.1172966568615004,-1.4824518701288592,-295447.7142086293,9.65261261324618,0.0,1003.0643241152286,9.65999984741211,10.070852552244888,9.249147142579332,8.506267315166546,0.147075510953419,0.0,0.0,9.732222239176432,10.062222162882486,9.402222315470375,6.781594492934231,-0.0488218747892755,0.0,1.0,9.289999961853027,10.199999809265137,9.744999885559082,9.42028842428912,0.087912018813587,0.0,0.0,-0.0316565837617499,-0.0059484141776749,-0.025708169584075,9.65999984741211,9.65999984741211,9.729289856182753,9.760946439944505,0.0898986388472665,0.2908482556225225,-0.2009496167752559,-0.0074064792226272,2.8099707106268568,3.152039777170314,-246.0217006449546,-238.866969537198,-7.154731107756618,9.744999885559082,9.744999885559082,9.744999885559082,9.744999885559082,0.0,0.0,0.0,0.0,-99.99999999999972,12.79112873171816,12.709361420055426,8.0,12.0,-4.0,8.329999923706055,10.199999809265137,0.0,1.0,5.829549875288379,0.0,0.0,0.0,71.42836382440403,11.111047713910668,8.791201881358703,11.078526797578812,-91.2087981186413,0.0,0.0,-0.3243187938436218,-0.060953486225366,-0.2633653076182558,4.1053853386430905,0.3858729181234723,3.719512420519618,9.479184877712576,-4.582482925150366,-4.690800725262534,-4.290092726562678,4.5824785781919815,8.760501861572266,4
2021-09-20,9.100000381469728,9.199999809265137,8.779999732971191,9.029999732971191,8.760501861572266,5069184,-6829578.601068472,-5521222,-0.3827901395397329,-556217.2471583601,-3.935548531221954,-2.3001507571598907,-486944.1703255149,9.468138005682526,0.0,966.6670960021038,9.50249981880188,10.153863823754552,8.851135813849208,13.709318966023387,0.1372995113039596,0.0,0.0,9.549999952316284,9.902499914169312,9.197499990463257,7.382198190849855,-0.2375890434307389,0.0,1.0,8.779999732971191,10.199999809265137,9.489999771118164,14.943437025742409,0.1760563285689916,0.0,0.0,-0.0850954791239111,-0.0217778271669221,-0.0633176519569889,9.50249981880188,9.50249981880188,9.62170676030405,9.706802239427962,0.0983523468734963,0.4483034111919844,-0.3499510643184881,-0.027601757516748,3.744369798231604,3.309539805780544,-258.3148275182149,-243.7289340324522,-14.585893485762682,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-109.882772354854,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,10.181799812316894,0.0,0.0,3.3005380640811666,0.0,0.0,0.0,39.7466438784653,21.590870298614057,17.605632856899163,13.984109690083836,-82.39436714310084,0.0,0.0,-0.8766582137448178,-0.2240944317292564,-0.6525637820155614,5.922531267963968,1.4932045880915714,4.429326679872396,9.136090929414586,-3.628603593815349,-3.696074617918832,-7.763025861523953,3.628594721717846,8.779905319213867,0
2021-09-21,8.859999656677246,9.199999809265137,8.779999732971191,9.050000190734863,8.779905319213867,3492267,-5831781.23273227,-2028955,-0.2733582402124525,-466779.506331028,0.0,-1.725113067869918,-176205.6049053839,9.393142577079855,19.213382735636003,968.8081574635488,9.411999893188476,10.09790355853434,8.72609622784261,14.57508867679138,0.2361147630906192,0.0,0.0,9.441999944051108,9.807999928792317,9.075999959309897,7.752594511966874,-0.0355188110095352,0.0,1.0,8.779999732971191,10.199999809265137,9.489999771118164,15.087123803747684,0.1901411572232766,0.0,0.0,-0.1243983323738131,-0.0423019282083003,-0.0820964041655128,9.411999893188476,9.411999893188476,9.533751903447254,9.658150235821068,0.1773775947732932,0.4966570663530086,-0.3192794715797154,-0.0546566661861082,4.7009989480049725,3.400039731393948,-265.3784901562667,-248.05884525721515,-17.319644899051582,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-81.88020931281068,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,10.125727809143068,0.0,0.0,5.88702821945148,0.0,0.0,0.0,21.53960181076994,29.81650513256301,19.014115722327663,15.136983486861842,-80.98588427767234,0.0,0.0,-1.288014053792959,-0.436878356141997,-0.851135697650962,4.177573783222402,2.0300784271177377,2.147495356104665,9.075647548831627,0.2214890183290352,0.2212440929913128,-7.558731092968241,-0.2214879689337721,8.906024932861328,1
2021-09-22,9.0600004196167,9.289999961853027,8.930000305175781,9.18000030517578,8.906024932861328,3224135,-4577946.684429976,1195180,-0.1864138430801453,-340219.87414474355,1.3398970348261348,-1.1121110473307074,54048.56912659591,9.359033110520734,31.525746760471065,982.7247506886508,9.37333329518636,10.022914171187873,8.723752419184851,13.8601894447752,0.3511863594256026,0.0,0.0,9.39055554072062,9.755555470784506,9.025555610656738,7.773766492964569,0.2115681152212956,0.0,0.0,8.779999732971191,10.199999809265137,9.489999771118164,15.149360761802644,0.2816905286713424,0.0,0.0,-0.1434031418036756,-0.0625221709273754,-0.0808809708763002,9.37333329518636,9.37333329518636,9.479328580636258,9.622731722439934,0.2639732845469343,0.5143594039790393,-0.250386119432105,-0.0824726134319412,5.650442251907976,3.4387063293960622,-268.3964794175493,-251.44845095060413,-16.948028466945146,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-50.18965711612302,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,10.071898686096192,0.0,0.0,20.728942134171888,0.0,0.0,0.0,12.171798262265446,35.43306968358273,28.169052867134244,21.596267148787025,-71.83094713286575,-0.1151666482289641,0.0,-1.490253972988394,-0.6475534795112765,-0.8427004934771176,2.202660398896582,2.0645948214735066,0.1380655774230752,9.136460960964904,1.4364653226638158,1.4262459088437485,-6.23084432128832,-1.4364575591887245,9.003039360046387,2
2021-09-23,9.31999969482422,9.380000114440918,9.109999656677246,9.279999732971191,9.003039360046387,2416299,-3951502.588723623,3611479,-0.1464915215969149,-257098.67535511937,1.5085051498198354,-0.6753416811389504,72634.76961322423,9.34986332429512,38.63003620022466,993.4297517215862,9.359999929155622,9.964931885181912,8.755067973129332,12.925896594122335,0.4338766985381792,0.0,0.0,9.37142853509812,9.72285711197626,9.019999958219982,7.500000145377172,0.3699183729747839,0.0,0.0,8.779999732971191,10.199999809265137,9.489999771118164,15.17094110087291,0.3521126571379832,0.0,0.0,-0.1486815635920688,-0.0797540494603141,-0.0689275141317547,9.359999929155622,9.359999929155622,9.448662604072402,9.59734416766447,0.3338228156835102,0.5219438253587453,-0.1881210096752351,-0.1074805230874228,6.5608017291920095,3.4520396954268016,-269.43716976986104,-254.0182679247837,-15.418901845077356,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-24.739722052437426,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,10.020222727971191,0.0,0.0,29.8883812287484,0.0,0.0,0.0,7.732462266772733,38.07828819160914,35.211265713798326,27.464811434420078,-64.78873428620167,-0.2171428952898306,0.0,-1.54919487094158,-0.8278817577973373,-0.7213131131442428,-1.1215725620127028,1.4273613447762648,-2.548933906788968,9.206521798885404,1.089318349358126,1.0834280147505204,-5.209399702441919,-1.0893123241447,8.944830894470215,3
2021-09-24,9.350000381469728,9.4350004196167,9.199999809265137,9.220000267028809,8.944830894470215,2195688,-5773448.8776659,1415791,-0.197924449807012,-239190.3085009736,0.7759571504630633,-0.4680132766243769,12125.055713512667,9.344980930037716,43.932210822117696,987.006771520111,9.34249997138977,9.915888841271856,8.769111101507686,12.274848737233404,0.3931792097864111,0.0,0.0,9.3606249888738,9.697500069936115,9.023749907811483,7.197704885362515,0.2912806114932286,0.0,0.0,8.779999732971191,10.199999809265137,9.489999771118164,15.1993586367944,0.3098595143783185,0.0,0.0,-0.1559089846286134,-0.0949850364939739,-0.0609239481346394,9.34249997138977,9.34249997138977,9.413483782988772,9.569392767617384,0.3774060680961652,0.532080431913753,-0.1546743638175877,-0.1305560721066143,7.432603460070032,3.469539653192653,-270.80306921121735,-256.1163680855879,-14.68670112562944,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-18.090033050845435,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,9.970613808171192,0.0,0.0,27.811938136549173,0.0,0.0,0.0,3.5208026095783715,39.34351362766537,30.98595143783185,31.45542333958814,-69.01404856216814,-0.239187562465668,0.0,-1.6292463734606657,-0.988154680930003,-0.6410916925306627,-4.366609366486919,0.2685672025236278,-4.635176569010548,9.21362265016067,-0.6465459878108537,-0.6486451493040946,-5.822264525487608,0.6465423869464502,8.799307823181152,4
2021-09-27,9.329999923706056,9.399999618530272,9.0,9.06999969482422,8.799307823181152,2341873,-7295669.119398703,-926082,-0.2315215501692348,-255203.44871947385,-2.006943896936485,-0.6603796041633905,-52296.163022062254,9.330985914802303,40.27243689767059,987.006771520111,9.312222162882486,9.87930251452611,8.745141811238863,12.179270247738383,0.2864302057405011,0.0,0.0,9.33796292764169,9.681851846200448,8.994074009082937,7.365394813054913,0.1103927484193003,0.0,0.0,8.779999732971191,10.199999809265137,9.489999771118164,15.248777912042438,0.2042253142759677,0.0,0.0,-0.1717606110339211,-0.1103401514019634,-0.0614204596319577,9.312222162882486,9.312222162882486,9.360640077117305,9.532400688151224,0.3855020242003897,0.5687598112461466,-0.1832577870457569,-0.1541321845403417,8.352627931127737,3.499817461699937,-273.1663001560537,-258.01080498230635,-15.155495173747395,9.489999771118164,9.489999771118164,9.489999771118164,9.489999771118164,0.0,0.0,0.0,0.0,-45.98407305869945,12.79112873171816,12.709361420055426,8.0,16.0,-8.0,8.329999923706055,9.922989245163192,0.0,0.0,23.429541825066977,0.0,0.0,0.0,-2.080481487768432,37.04354295677443,20.422531427596773,28.873249526408987,-79.57746857240323,-0.1783333672417519,0.0,-1.8018610070327783,-1.150895946150558,-0.6509650608822204,-6.68403245091409,-1.1219527281639157,-5.562079722750175,9.164224816432377,-1.6269042067276085,-1.6402836050090297,-7.354446065723241,1.6268957234174906,8.547067642211914,0
2021-09-28,8.979999542236328,9.039999961853027,8.770000457763672,8.8100004196167,8.547067642211914,1916088,-8644026.840296572,-2842170,-0.2585870076854479,-289914.59765009605,-4.156893919271494,-1.048881194730957,-93026.32671440918,9.30475329313227,37.77725007457951,958.7133807974428,9.261999988555909,9.878622820833018,8.6453771562788,13.315111920514052,0.1334878103118295,0.0,0.0,9.291499996185305,9.627999973297118,8.955000019073486,7.243178760156463,-0.2154526141447619,0.0,1.0,8.770000457763672,10.199999809265137,9.485000133514404,15.43942294610631,0.0279720139810052,0.3744998931884767,0.0,-0.202963273492994,-0.1288647758201695,-0.0740984976728244,9.261999988555909,9.261999988555909,9.275926283655672,9.478889557148666,0.3736017740523655,0.6410217038646616,-0.2674199298122961,-0.1819981054891684,9.251620492888904,3.550039636026515,-277.08622046524613,-262.589831071729,-14.49638939351712,9.365000247955322,9.485000133514404,9.425000190734863,9.485000133514404,0.0,0.0,0.0,0.0,-105.4245212155638,12.79112873171816,12.709361420055426,8.0,40.0,-32.0,8.329999923706055,9.877269664675511,0.0,0.0,18.10442598804208,0.0,0.0,0.0,-9.964360347962405,37.47741261636775,2.79720139810052,18.068561421176383,-97.20279860189947,-0.1507499694824225,0.0,-2.14121361230468,-1.3489594793813824,-0.7922541329232975,-9.620696139375577,-2.821701410406248,-6.798994728969328,9.037090254976382,-2.866585269632249,-2.9084742902643512,-10.010209867772424,2.866591168736363,8.450052261352539,1
