Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,ssx_600104.SS_2021-09-15_2023-09-15_Close_percent,asx_NWS.AX_2021-09-15_2023-09-15_Close_percent,jpx_4689.T_2021-09-15_2023-09-15_Close_percent,asx_LNW.AX_2021-09-15_2023-09-15_Close_percent,asx_SQ2.AX_2021-09-15_2023-09-15_Close_percent,jpx_4684.T_2021-09-15_2023-09-15_Close_percent,asx_URW.AX_2021-09-15_2023-09-15_Close_percent,asx_GPT.AX_2021-09-15_2023-09-15_Close_percent,jpx_7269.T_2021-09-15_2023-09-15_Close_percent,ssx_002475.SZ_2021-09-15_2023-09-15_Close_percent
2023-05-26,11405.0,11484.0,11162.0,11447.0,11447.0,3728433,-159134655.69274682,-18104942,-0.0148001990912739,-20038858.21723345,-1368859.2499851815,-440180.28513700544,-22000.301750822146,11449.978357652091,49.73846278691588,1114.6521387065652,11665.85,12527.530747144943,10804.169252855056,14.772704040339018,0.3730098120881032,0.0,0.0,11421.3,11709.3,11133.3,5.043208741561819,0.5446180555555569,0.0,0.0,10735.0,13194.0,11964.5,21.078618360428088,0.2895485969906466,356.85195313874686,9.049785303145448,-326.57201319237174,-366.61008667775735,40.03807348538561,11408.75,11918.615384615385,11524.121107259058,11850.69312045143,0.8934868657790572,1.083303346527528,-0.1898164807484706,-0.437972996600388,25.476886511717428,-730.8500000000004,-94.52902085456132,-92.98763306489374,-1.5413877896675814,11361.5,11964.5,11663.0,12613.5,93.75010296962228,37.51791928919128,9.508838210416386,25.598274166439992,-60.46354535084527,13095.625,13506.0,24.0,56.00000000000001,-32.00000000000001,10868.736269789795,11691.0,0.0,0.0,39.37207983721048,0.9325375250954282,0.9556244990977988,0.9577792497979069,-26.312323109805025,54.40546246077013,55.236617532971295,57.30540470649081,-44.76338246702871,-747.4544117647056,-0.4608695652173913,-2.7557207825151377,-3.0504634727463724,0.2947426902312346,-8.113153741479683,-2.985962094880001,-5.127191646599682,11615.185185007884,-0.0174687745654655,-0.0174703005335175,-10.5703125,0.017468774565458,11500.0,4,0.1512837515357006,0.070892224830473,0.315097703891027,0.0,4.751872260258892,0.6666666666666714,0.0,0.9302343117861084,0.4610318331503862,0.8309246654330451
2023-05-29,11400.0,11522.0,11320.0,11500.0,11500.0,1557758,-157916211.3165092,-16547184,-0.0047280960929498,-5381710.757628674,1270800.7277125202,-335966.0482982147,6561.161057317305,11394.76440871853,43.69594808968378,1119.8130160850442,11599.25,12276.207568832995,10922.292431167005,11.672436904679095,0.4266940761360444,0.0,0.0,11410.133333333331,11687.833333333332,11132.433333333332,4.867603066280262,0.661805305485538,0.0,0.0,10735.0,12998.0,11866.5,19.509882104446408,0.3380468404772426,341.3667578248722,8.832351466533263,-304.3056845891024,-354.1492062600264,49.84352167092402,11455.833333333334,11865.692307692309,11520.41016768074,11824.715852269845,0.947348697770283,1.0940603335207044,-0.1467116357504214,-0.4273037298792742,25.28138773943123,91.75,-93.7970275470512,-94.0102610224905,0.2132334754393099,11361.5,11964.5,11663.0,12468.0,96.87505148481114,37.8803148748973,9.887071079583109,24.557527745414617,-39.43455054273404,13000.0,13471.0,20.0,52.0,-32.0,10899.586818998205,11691.0,0.0,0.0,40.93177145129311,1.0,0.9556244990977988,0.9631203296427512,-25.248844235185253,60.52355678950431,62.34718826405868,57.65852745600507,-37.65281173594132,-690.2691176470598,5.16689529035208,-2.573471433824676,-2.9550650649620334,0.381593631137358,-12.534018683217576,-4.895573412547517,-7.63844527067006,11614.077735453298,0.4630034070062017,0.4619348432864711,-10.15625,-0.4630034070061981,11706.0,0,-2.1212037155183765,-1.7382070449299505,-0.517237871542747,-0.2747252747252702,-1.2057481410313642,0.2684563758389231,0.8356538191369935,-1.64318119935551,-0.9042787825319748,0.3642995513805687
2023-05-30,11351.0,11835.0,11350.0,11706.0,11706.0,4397721,-155857896.5391896,-12149463,0.0596334835663154,124805751.63631828,1891377.374781165,-121688.31834010089,85989.04009117254,11391.626365075508,51.67311998321607,1119.8130160850442,11566.35,12148.803869418243,10983.896130581756,10.071524195934636,0.6198807384861934,0.0,0.0,11421.433333333334,11731.233333333334,11111.633333333331,5.424888294814139,0.959274800946847,0.0,0.0,10735.0,12480.0,11607.5,15.086868372477054,0.5564469914040114,355.730082042385,8.357818121979497,-266.95963585902973,-336.71129217982707,69.75165632079734,11457.083333333334,11823.26923076923,11548.96244957601,11815.92208543504,0.9820923656927428,1.0239396795475966,-0.0418473138548538,-0.4107089102989461,25.209418548057176,-22.350000000000364,-90.29766839799136,-94.27474611821962,3.977077720228266,11459.0,11964.5,11711.75,12451.5,98.43752574240555,36.54082318097278,15.085593081726618,22.221477283661887,19.86258397221061,12991.75,13471.0,16.0,48.0,-32.0,10929.203346238275,11691.0,0.0,0.0,46.6740075858897,1.0,0.9775125083651424,0.9629205021869132,-22.704696904598453,61.51341745550554,88.27272727272727,68.61884435658574,-11.727272727272728,-627.8867647058833,0.1283038234539389,-2.259321227143998,-2.8159162973984264,0.5565950702544278,-9.936654216882197,-5.903789573414453,-4.032864643467743,11617.734759334657,1.7913043478260835,1.775449549982433,-8.546874999999998,-1.7913043478260846,12197.0,1,-0.2967461360274654,-0.5578770137221056,-0.6575238395686114,-0.2739726027397324,-0.3497646762444333,-0.0897263346792272,0.0,1.3856784109175069,-0.9180327868852488,-1.0968876307375697
2023-05-31,11550.0,12439.0,11557.0,12197.0,12197.0,16944176,-148211885.14689934,4794713,0.120646528897704,1295489275.1168442,2110760.6530999206,419878.4623317648,789488.2039040254,11594.054164095574,70.25702386277347,1119.8130160850442,11557.1,12091.325757522309,11022.874242477692,9.244979406984596,1.0989041065408367,1.0,0.0,11479.3,11849.2,11109.4,6.4446438371677806,1.4701270613679356,1.0,0.0,10735.0,12458.0,11596.5,14.90858433344005,0.8485200232153222,408.3570738381465,7.364956472377613,-195.4895448498937,-308.4669427138404,112.97739786394668,11511.5,11805.384615384615,11648.660534256624,11844.15007910652,1.1554169030062391,0.8476082435242958,0.3078086594819436,-0.3821319799082089,25.42374614834196,-63.10000000000037,-81.70697265089466,-93.36425590233432,11.657283251439663,11767.0,11964.5,11865.75,12001.0,99.21876287120278,34.732860787296865,23.470858880193244,18.731777294397368,172.48029515344592,12766.5,13471.0,12.0,44.0,-32.0,10983.55114546398,11691.0,0.0,0.0,57.32322413329762,1.0,1.0,0.9777123358209804,-16.79694097079572,66.24747215746154,84.76070528967254,78.46020694215282,-15.239294710327457,-494.7044117647056,5.656618156618157,-1.6505156009019497,-2.582836158099131,0.9323205571971812,13.417297725396166,-2.03957211365233,15.456869839048496,11694.003524543885,4.194430206731581,4.1088488992073735,-4.710937500000001,-4.194430206731596,12091.0,2,0.7396487309474367,-0.3814163647062401,1.4200510972243592,0.546448087431699,1.829866408724854,-1.255042581801888,1.6853916782002756,1.8735285126401635,0.3248862897985702,1.2658222585088623
2023-06-01,12209.0,12354.0,11920.0,12091.0,12091.0,5680750,-149416099.43261364,-886037,0.1480715201277027,1024396592.9572952,1061937.24420191,446754.0491565331,661342.160325084,11671.889247049256,68.1422521302754,1110.0811000643002,11570.4,12142.541031565015,10998.258968434982,9.889736423373735,0.9549577562860392,0.0,0.0,11564.033333333336,11932.633333333331,11195.433333333332,6.374938386549105,1.2148218484355218,1.0,0.0,10735.0,12439.0,11587.0,14.727235013482682,0.795774647887324,410.9213664543319,6.974887388342972,-145.72249867635583,-275.9180539063435,130.1955552299877,11561.25,11778.115384615385,11716.712759755606,11862.435258431962,1.2189227933647349,0.8642228138439484,0.3546999795207864,-0.3475600749209813,25.644446876536893,-82.39999999999964,-69.54462801127478,-90.9489949444405,21.40436693316572,11800.5,11964.5,11882.5,12001.0,99.6093814356014,33.0540385645978,21.66770072321173,17.29270098297797,183.3214524874172,12766.5,13471.0,8.0,40.0,-32.0,11099.987053826862,11691.0,0.0,0.0,54.77985919559038,0.8959512073553934,0.9653170691184642,0.9809431924945354,-12.705966646663738,62.0062563542874,74.33628318584071,82.45657191608016,-25.663716814159294,-335.1705882352944,5.194014268313903,-1.2284366194772234,-2.3119562503747497,1.0835196308975263,12.223433911279129,0.8130290913339613,11.410404819945166,11787.725441152295,-0.8690661638107722,-0.8728645668991675,-5.539062500000003,0.8690661638107713,12405.0,3,-0.5216056615797982,1.761655470056752,0.7490654156716516,1.098901098901095,-2.318877211777476,-2.877379371403279,0.0,0.4773337410583167,0.9778357235984316,-4.395607557774326
2023-06-02,12125.0,12591.0,12152.0,12405.0,12405.0,4952385,-148660268.4645043,4066348,0.157334715118604,1100204063.9633958,2078705.512596456,469816.6225980589,79242.62298128128,11736.557754562227,68.2274992624952,1138.909606012542,11600.05,12271.962338032485,10928.137661967516,11.58464554950166,1.0989992700216538,1.0,0.0,11677.0,12065.0,11289.0,6.645542519482745,1.4381443298969072,1.0,0.0,10735.0,12591.0,11663.0,15.999931034780024,0.8997844827586207,419.82922980889873,6.438373952881946,-80.02213488026428,-236.73887010112767,156.7167352208634,11637.666666666666,11766.23076923077,11822.60310440859,11902.625239288856,1.1333202048050413,0.8162662465537613,0.3170539582512799,-0.3046136299313433,25.87496815675997,-390.0499999999993,-58.39551567544534,-86.77717650037037,28.381660824925035,11876.5,11964.5,11920.5,12001.0,99.8046907178007,32.154026491179444,23.9069818087574,15.78785223966688,219.9515258345269,12750.5,13471.0,4.0,36.0,-32.0,11207.108089520714,11691.0,0.0,0.0,60.38680556954044,1.0,0.9653170691184642,0.976878046078976,-7.243401681535853,62.12030228376411,87.6657824933687,82.25425698962731,-12.3342175066313,-105.82352941176396,7.98224233983287,-0.6723065985151133,-1.9840263200028223,1.3117197214877092,10.127762522651333,2.6759757775974355,7.451786745053897,11948.694727835928,2.59697295509056,2.5638242951654178,-3.085937500000002,-2.596972955090564,12566.0,4,-1.111944123841468,0.0703256261469391,-2.409285280977869,0.0,-0.5638653612917608,-2.022375215146297,0.2857140132359035,-0.2397997906199123,-1.6019310950186565,-1.01754685785329
2023-06-05,12450.0,12566.0,12355.0,12566.0,12566.0,3180635,-145479633.4645043,7246983,0.2056320086600521,1016186659.825768,590416.693521891,531628.154562982,169892.40823149827,11781.70806717215,72.21230327194333,1153.6911011006532,11638.65,12428.963172103486,10848.336827896514,13.580839222821997,1.0866978007792651,1.0,0.0,11794.266666666666,12176.166666666668,11412.366666666669,6.476027900561865,1.510386663175349,1.0,0.0,10735.0,12591.0,11663.0,15.946866689865232,0.9865301724137931,398.94630682800886,5.804023869462577,-14.79225287614463,-192.34954665613108,177.55729377998645,11750.666666666666,11760.846153846154,11936.9718575765,11951.764110452645,1.1652682926829268,0.8017560975609757,0.3635121951219511,-0.2545777303030158,25.7243816323104,-314.64999999999964,-45.23194865830584,-80.84720817522695,35.615259516921114,11876.5,11964.5,11920.5,12001.0,99.90234535890036,31.31830099443384,22.997472274070045,15.187224261652853,205.31999439016425,12750.5,13471.0,100.0,32.0,68.0,11345.497280568645,11691.0,0.0,0.0,62.925173273014536,1.0,0.9653170691184642,0.9653170691184642,-1.89208444537782,65.77750213575158,98.342175066313,86.7814135818408,-1.6578249336870026,118.9441176470591,12.096342551293487,-0.1237662719866415,-1.6119743103995865,1.488208038412945,5.733693083541764,3.287519238786301,2.446173844755463,12121.741548276445,1.2978637646110514,1.2895136836990062,-1.8281250000000029,-1.2978637646110371,12817.0,0,0.2199489062255395,-1.1259682300264018,-1.7857195375652566,-6.0111151801215215,-2.490840242827659,-0.9067903838043064,-4.011464312940163,-0.9569397672945854,-4.2548596112310975,1.5283092263916132
2023-06-06,12515.0,12817.0,12494.0,12817.0,12817.0,4411670,-141067963.4645043,11658653,0.2216315583368493,1029207018.4220868,1427690.6477592387,656389.0170606839,129401.36358213236,11862.737708304812,78.46641156794831,1153.6911011006532,11684.35,12622.41530156502,10746.284698434982,16.056781961598528,1.1037159663140437,1.0,0.0,11918.566666666666,12302.766666666666,11534.366666666669,6.447083961438313,1.669226097518654,1.0,0.0,10735.0,12817.0,11776.0,17.81870621814649,1.0,391.351676145208,5.084380091190603,56.50514473821022,-142.57860837726284,199.08375311547303,11875.083333333334,11760.26923076923,12072.360802564732,12015.855657826522,1.2107605960905747,0.7574995161602477,0.453261079930327,-0.1972712670579219,25.44198081091966,-365.3500000000004,-31.53074063766609,-73.32913392522154,41.798393287555456,11989.5,11866.5,11928.0,12001.0,99.95117267945018,31.185389653083423,26.226324585322608,14.29093557038092,201.4470482776284,12741.25,13471.0,100.0,28.000000000000004,72.0,11470.047552511778,11691.0,0.0,0.0,66.52639366754921,1.0,1.0,0.9768780460789762,3.878347818373767,67.58833427755971,100.0,95.3359858532272,-0.0,338.8088235294126,13.184387142352524,0.4702548561442282,-1.1955284770908237,1.6657833332350518,4.014414364538269,3.4328982639366954,0.5815161006015739,12322.066214930468,1.997453445806152,1.9777660766932208,0.1328124999999902,-1.997453445806144,13128.0,1,1.0286549523843007,2.0528871735770764,-0.1113878835103889,1.3520604402194607,0.8942725683582893,0.2507836990595677,1.928379323816032,0.9478692296937083,-1.4087424901595256,7.336858357751367
2023-06-07,12850.0,13263.0,12700.0,13128.0,13128.0,5145210,-138390260.92453983,16803863,0.2879952481936795,1110771774.3617887,3567162.4676155103,1026512.0955728528,212967.7666117329,11999.676809072223,85.90160472353556,1153.6911011006532,11765.75,12889.801044214746,10641.698955785254,19.10717199013656,1.1059555778232733,1.0,0.0,12071.666666666668,12489.466666666664,11653.866666666663,6.921993649040455,1.7641614807723005,1.0,0.0,10735.0,13263.0,11999.0,21.48609310923656,0.9465981012658228,408.5165085306872,3.7997777944914577,136.53011272964795,-86.75686415588068,223.28697688552865,12025.833333333334,11789.653846153846,12234.76683293939,12098.23672020974,1.2945296233200834,0.6604202157864849,0.6341094075335985,-0.1320364271827933,25.38763230755293,-286.75,-15.188276274201703,-64.46908874526581,49.2808124710641,12212.5,11999.0,12105.75,12001.0,99.97558633972508,31.9590357854624,31.511308465893368,12.865679808081062,195.98974822855416,12767.5,13471.0,100.0,24.0,76.0,11631.681846210366,11691.0,0.0,0.0,70.3671389557158,1.0,1.0,0.988439023039488,10.171959533306058,68.76575910101718,93.7730627306273,97.37174593231344,-6.226937269372693,530.2147058823539,15.981977206467002,1.1285124922508625,-0.7307202832224864,1.8592327754733489,3.7632391293163954,3.498966437012636,0.2642726923037597,12569.63525689256,2.426464851369281,2.39749390401034,2.562500000000001,-2.426464851369275,13447.0,2,0.2227175689694007,-1.5275265690404325,0.8344923504867836,0.0,-4.670914722318358,0.6494866959983199,0.2808986130333863,0.4784640070105865,-1.756894790602658,-3.387888665257321
2023-06-08,13079.0,13510.0,13079.0,13447.0,13447.0,5136630,-134755290.73892498,21940493,0.3842255962855787,1186173659.452962,2626293.893077757,1271505.4184105876,249662.75194147712,12132.156253192708,90.28666947535422,1181.7248809034493,11891.35,13167.15582770273,10615.54417229727,21.457712163929752,1.1096734966327786,1.0,0.0,12259.133333333331,12688.333333333334,11829.933333333334,7.002126305829121,1.8838148493320903,1.0,0.0,10851.0,13510.0,12180.5,22.36079166789305,0.976306882286574,410.7648576776184,3.0369758933103475,223.119131951089,-24.78166493448674,247.9007968855757,12189.833333333334,11830.615384615385,12421.264243256406,12198.145111305315,1.351618211738892,0.5920643627719876,0.7595538489669044,-0.0588017613376525,25.21265934183414,-366.3500000000004,5.343165027271074,-53.37217920283999,58.71534423011106,12415.0,12122.5,12268.75,12122.5,99.98779316986254,33.07497734840896,33.47125117101654,11.888212455698802,190.77572791602805,12741.25,13471.0,100.0,20.0,80.0,11860.066387740915,11691.0,0.0,0.0,73.70045310492858,1.0,1.0,1.0,16.70131013848699,69.85509703673232,97.31686541737648,97.0299760493346,-2.6831345826235093,744.3764705882368,17.144350553184076,1.829123443893948,-0.2187515377991996,2.047874981693147,3.509761876971547,3.501125525004418,0.0086363519671288,12893.88036381482,2.4299207800121847,2.4008679053942217,5.054687499999999,-2.429920780012182,13664.0,3,-1.264880919948283,-1.5745320869037869,1.3183764956609425,-5.716104012346435,1.0243429532055757,1.876845212990304,-1.9718291319165928,3.124991511721376,0.9837382051796766,-0.920469870885043
