Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,ssx_000568.SZ_2021-09-15_2023-09-15_Close_percent,asx_ANZ.AX_2021-09-15_2023-09-15_Close_percent,asx_URW.AX_2021-09-15_2023-09-15_Close_percent,asx_MQG.AX_2021-09-15_2023-09-15_Close_percent,asx_WBC.AX_2021-09-15_2023-09-15_Close_percent,jpx_7733.T_2021-09-15_2023-09-15_Close_percent,asx_MEZ.AX_2021-09-15_2023-09-15_Close_percent,jpx_6902.T_2021-09-15_2023-09-15_Close_percent,jpx_9022.T_2021-09-15_2023-09-15_Close_percent,asx_NAB.AX_2021-09-15_2023-09-15_Close_percent
2021-09-15,3650.0,3729.0,3607.0,3703.0,3703.0,1889674,1084239.1803278688,1889674,0.5737704918032787,0.0,0.0,0.0,-128777.05586247925,3679.6666666666665,50.0,1000.0,3703.0,3703.0,3703.0,0.0,0.0,0.0,0.0,3679.6666666666665,3801.6666666666665,3557.6666666666665,6.63103541987499,0.5956284153005471,0.0,0.0,3607.0,3729.0,3668.0,3.294625978935998,0.7868852459016393,0.0,0.0,0.0,0.0,0.0,3703.0,3703.0,3703.0,3703.0,0.0,0.0,0.0,-7.40910298073658,1.0,253.2800000000002,-64.01973571132483,-64.01973571132483,0.0,3668.0,3668.0,3668.0,3668.0,0.0,0.0,0.0,0.0,0.0,3984.7265,4011.553,4.0,4.0,0.0,3676.0,3729.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,78.68852459016394,78.68852459016394,-21.311475409836067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3703.0,-6.40197357113248,0.0,0.0,0.0,3746.0,2,-0.08168843097985154,-0.02283645084723856,0.04294090649487735,-0.014493428583670608,-0.012889071593843502,0.02923086731354681,-0.05780899797882913,-0.06509638582194176,-0.03227386672749366,-0.04283829266576736
2021-09-16,3705.0,3833.0,3676.0,3746.0,3746.0,1567334,914527.8554871044,3457008,0.264543170130675,67395362.0,866471.3456098061,866471.3456098061,-102776.224281464,3712.3099373793752,100.0,1011.6122063192006,3724.5,3767.5,3681.5,2.309034769767754,0.75,0.0,0.0,3715.6666666666665,3855.1666666666665,3576.1666666666665,7.508746748003947,0.6087216248506576,0.0,0.0,3607.0,3833.0,3720.0,6.067928581017586,0.6150442477876106,0.0,0.0,3.4301994301995364,0.6860398860399073,2.744159544159629,3724.5,3724.5,3709.6153846153848,3706.185185185185,0.4463933001501143,0.1046851544599825,0.3417081456901317,0.0022680090467188,2.045380875202593,231.7800000000002,-58.5853377415148,-61.30253672641982,2.7171989849050178,3720.0,3720.0,3720.0,3720.0,0.0,0.0,0.0,0.0,66.66666666666666,3984.7265,4011.553,8.0,4.0,4.0,3676.0,3729.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,25.089605734767023,61.50442477876106,70.09647468446249,-38.49557522123894,0.0,0.0,0.0925533738549047,0.0185106747709809,0.0740426990839237,-1.3781634713831723,-0.2756326942766344,-1.1025307771065378,3713.844922276776,1.1612206319200569,1.154530209042015,1.1612206319200569,-1.1612206319200595,3797.0,3,-0.7693604899670135,-0.9416850174973206,1.8416189280647608,-1.039268734542972,-0.8142620917734575,-0.0834988905882596,-0.3991930594474979,0.266871144927606,-0.159292494227202,-0.2132204644208428
2021-09-17,3850.0,3850.0,3676.0,3797.0,3797.0,3089067,2121749.441694001,6546075,0.3241254403125539,80273512.71428572,47878.53419818994,457174.9399039981,60256.37689495494,3741.5785335487294,100.0,1011.6122063192006,3748.6666666666665,3825.509941511567,3671.823391821766,4.099765686194224,0.814492930128817,0.0,0.0,3735.222222222222,3886.222222222222,3584.222222222222,8.085194990629741,0.704562178072112,0.0,0.0,3607.0,3850.0,3728.5,6.482304819491374,0.7818930041152263,0.0,0.0,10.146963092832266,2.57822452739838,7.568738565433886,3748.6666666666665,3748.6666666666665,3723.0591715976334,3712.912208504801,0.5879931792791202,0.3086964191215381,0.2792967601575821,0.0086432919351954,3.1378444597497746,207.61333333333369,-52.476905914984165,-58.3606597892746,5.883753874290434,3728.5,3728.5,3728.5,3728.5,0.0,0.0,0.0,0.0,70.40000000000025,3984.7265,4011.553,12.0,4.0,8.0,3676.0,3729.0,0.0,1.0,100.0,0.0,0.0,0.0,100.0,42.16335540838852,78.18930041152264,72.79408326014921,-21.81069958847737,0.0,0.0,0.2732885272533409,0.0694662452674529,0.2038222819858879,3.87572332495358,0.5546385095694085,3.321084815384172,3736.446902368512,1.3614522156967457,1.3522677227769009,2.538482311639201,-1.361452215696744,3763.0,4,-4.47187940843061,0.6099710339211271,0.5628467804992425,-0.172351340789632,0.4615333516217816,0.1251335244247116,-0.1988029222561209,0.0637188359807083,-0.9223867072480658,1.099291398991724
2021-09-20,3797.0,3807.0,3700.0,3763.0,3763.0,867657,2275819.3762734407,5678418,0.3069735156697653,64591534.04081634,-117154.58988978365,265731.7633060708,34286.79055225407,3743.344354638122,84.32841776995761,1002.5537878270086,3752.25,3819.946011699361,3684.553988300639,3.6082889839089054,0.579399064510188,0.0,0.0,3740.583333333333,3880.583333333333,3600.583333333333,7.485463497226369,0.5800595238095249,0.0,0.0,3607.0,3850.0,3728.5,6.476114331401159,0.6419753086419753,0.0,0.0,12.581499146543138,4.578879451227332,8.002619695315806,3752.25,3752.25,3729.2039144287664,3716.6224152822233,0.6744741388070317,0.4572706025810384,0.2172035362259932,0.0156848017056731,4.172251441604487,204.0300000000002,-51.57117292001582,-56.663288071959904,5.0921151519440855,3728.5,3728.5,3728.5,3728.5,0.0,0.0,0.0,0.0,35.202918376653145,3984.7265,4011.553,12.0,4.0,8.0,3676.0,3729.0,1.0,0.0,71.29194847714643,0.0,0.0,0.0,98.26452770922144,45.35714285714285,64.19753086419753,67.9637520181604,-35.80246913580247,0.0,0.0,0.3385197025882909,0.1232769367316205,0.2152427658566704,-1.2097713736733926,0.2017565329208483,-1.411527906594241,3743.2688492269294,-0.8954437713984742,-0.8994769638364986,1.6203078584931196,0.895443771398476,4320.0,0,-4.47187940843061,2.021664175683341,1.3207579083439782,3.5966014881625483,2.2411167378857044,0.1251335244247116,-0.1984188001993772,0.0637188359807083,-0.9223867072480658,1.9720294676014447
2021-09-21,3735.0,4399.0,3745.0,4320.0,4320.0,5828216,6695995.425203104,11506634,0.5056654372304666,519123645.17784256,3573975.295356246,1092792.6463186147,854924.2978844439,3924.380806383874,92.75877498409218,1002.5537878270086,3865.8,4324.018114002492,3407.581885997509,23.706250401080823,0.9956155006974804,0.0,0.0,3823.4,4066.2,3580.6,12.70073756342522,1.5226523887973646,1.0,0.0,3607.0,4399.0,4003.0,20.487350613068443,0.9002525252525253,0.0,0.0,58.77856871401991,15.418817303785849,43.35975141023406,3865.8,3865.8,3820.095619901264,3761.317051187244,0.8534080817051508,0.2927952930728241,0.5606127886323267,0.0522082169440841,5.755833243015928,90.48000000000002,-22.869968758530792,-49.90462420927408,27.034655450743283,4003.0,4003.0,4003.0,4003.0,0.0,0.0,0.0,0.0,166.66666666666657,3984.7265,4011.553,20.0,4.0,16.0,3676.0,3729.0,0.0,0.0,95.26646876231096,0.0,0.0,0.0,97.2673838474716,68.28665568369028,90.02525252525253,77.47069460032424,-9.974747474747474,0.0,0.0,1.562712419987746,0.4111640333828457,1.1515483866049003,13.65411067737635,2.8922273618119485,10.7618833155644,3946.7273939516726,14.80201966516077,13.803889064471877,16.66216581150419,-14.80201966516077,4432.0,1,-4.47187940843061,-0.0368443594731644,0.5736177762703818,1.013294724046219,0.434784111079793,2.8607160865705623,0.0,1.3132716240420024,-3.151599569296451,0.8778381331624132
2021-09-22,4340.0,4552.0,4297.0,4432.0,4432.0,2861250,6864304.248732516,14367884,0.4262696297178061,490743124.4381508,3141546.526867628,1502543.4224284175,936874.2340036024,4013.687239039931,94.34898102833878,1028.545923066968,3960.1666666666665,4554.364632181714,3365.968701151619,30.008735264427305,0.8970337839547724,0.0,0.0,3924.0,4168.833333333333,3679.1666666666665,12.478763166836558,1.537440435670525,1.0,0.0,3607.0,4552.0,4079.5,23.86263204410589,0.873015873015873,0.0,0.0,103.23748568325118,32.98255097967892,70.25493470357226,3960.1666666666665,3960.1666666666665,3914.2347553010695,3810.9972696178174,1.2008630650600136,0.308911264649704,0.8919518004103095,0.1126620949162501,7.189965191377808,-3.886666666666315,0.9824043461702584,-41.42345278336669,42.40585712953695,4079.5,4079.5,4079.5,4079.5,0.0,0.0,0.0,0.0,137.11949114039066,3984.7265,4011.553,24.0,4.0,20.0,3700.0,3729.0,0.0,0.0,95.99138533825348,0.0,0.0,0.0,96.6987620930026,65.62287270251872,87.3015873015873,80.50812356367912,-12.698412698412698,47.583333333333485,0.0,2.708936227960201,0.8707184722983168,1.838217755661884,13.775744273450693,5.068930744139697,8.706813529310994,4129.855471853227,2.592592592592591,2.5595547188963508,19.686740480691324,-2.5925925925925952,4407.0,2,4.15957726123537,0.2210005030335224,0.1923029309897401,-0.3780493865914565,1.1115483656944465,0.5374027278941895,-0.3960414598854669,1.7183493879378062,0.9165949697247696,0.7010981069712017
2021-09-23,4442.0,4558.0,4390.0,4407.0,4407.0,1294832,5831521.582065849,13073052,0.3351828673744009,416012563.8041293,642245.4804947668,1359160.4321061422,66876.67468912955,4046.2834455203647,94.8624005011739,1022.7441071651914,4024.0,4656.791547713102,3391.2084522868986,31.45087215273865,0.8026273038760992,0.0,0.0,3999.3809523809527,4233.238095238095,3765.5238095238096,11.694667031802542,1.3715129301567903,1.0,0.0,3607.0,4558.0,4082.5,23.63320079522863,0.8412197686645636,0.0,0.0,134.89917293056033,53.3658753698552,81.53329756070512,4024.0,4024.0,3990.044792947059,3855.1456200164985,1.2326474563906709,0.3679704765378591,0.8646769798528118,0.1848594479683387,8.450312849817836,-67.7199999999998,17.11708979142017,-33.06051812982571,50.17760792124588,4082.5,4082.5,4082.5,4082.5,0.0,0.0,0.0,0.0,101.94581167486996,3984.7265,4011.553,24.0,4.0,20.0,3745.0,3729.0,0.0,0.0,92.58306045526784,0.0,0.0,0.0,95.3799274542233,59.92669517409896,84.12197686645636,87.14960556443206,-15.87802313354364,110.3285714285712,0.0,3.499197857277905,1.3964143492942345,2.1027835079836708,8.597660238337406,5.77467664297924,2.822983595358166,4237.642976832987,-0.5640794223826684,-0.5656763585133007,19.0116122063192,0.5640794223826759,4535.0,3,-1.5479924042490725,-1.07051391699693,-3.46820474670713,-2.607500895103413,-0.6423051904946391,0.5374027278941895,0.1972549675362245,1.7183493879378062,0.9165949697247696,-0.5945689686974305
2021-09-27,4320.0,4585.0,4350.0,4535.0,4535.0,1842713,6890101.390576487,14915765,0.3580995489922862,390277520.974968,-82894.08063002757,1153152.6445724035,46217.16837341971,4088.77880358709,95.45510401110486,1022.7441071651914,4087.875,4769.499850999433,3406.250149000567,33.34861516066088,0.8279846673315994,0.0,0.0,4060.7083333333335,4294.708333333333,3826.7083333333335,11.525082857054894,1.5134437321937333,1.0,0.0,3607.0,4585.0,4096.0,23.92441060453169,0.948875255623722,0.0,0.0,168.37885185160803,76.36847066620578,92.01038118540224,4087.875,4087.875,4073.884055570588,3905.50520371898,1.1875500171487363,0.4258602949582714,0.7616897221904652,0.2679374133719015,9.655864207436162,-131.5949999999998,33.262307015681344,-24.77016498663733,58.03247200231867,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,89.40084168510558,3984.7265,4011.553,32.0,4.0,28.0,3810.04,3729.0,0.0,0.0,93.79739300137894,0.0,0.0,0.0,94.5700132463303,64.7676085818943,94.8875255623722,88.77036324347195,-5.112474437627812,191.17500000000013,0.0,4.311320637628927,1.979395606961173,2.3319250306677537,6.196430755164976,5.859027465416387,0.3374032897485888,4358.079034464767,2.904470161107331,2.863089770725047,22.4682689711045,-2.9044701611073265,4413.0,0,-10.000003385201351,-1.313393900417566,-0.3752341690955774,-1.2206033591736087,-0.8316760613929404,-0.8515831437616015,1.9802072994273487,1.1611658383305894,-4.079782194087116,-0.8409423354599426
2021-09-28,4545.0,4560.0,4411.0,4413.0,4413.0,733912,6175891.726146957,14181853,0.3091864027762661,321732551.69282967,365438.9082069785,1054688.4275267257,33777.44086057338,4102.467262288134,91.28743813690171,995.2303737420044,4124.0,4798.351046068243,3449.6489539317577,32.703736472756674,0.7142800857839506,0.0,0.0,4105.222222222223,4329.777777777777,3880.6666666666665,10.93999512815654,1.1853043047996052,1.0,0.0,3607.0,4585.0,4096.0,23.71483996120272,0.8241308793456033,0.0,0.0,182.9583284780515,97.68644222857492,85.27188624947657,4124.0,4124.0,4126.055739328959,3943.097410850908,1.2022523884925365,0.4750298005586492,0.7272225879338872,0.3474293314802413,10.751423446380782,-167.7199999999998,42.393359418443545,-17.30755116385056,59.70091058229411,4096.0,4096.0,4096.0,4096.0,0.0,0.0,0.0,0.0,73.2459815647138,3984.7265,4011.553,32.0,4.0,28.0,3887.536,3729.0,0.0,0.0,80.30231216145165,0.0,0.0,0.0,89.98602310133802,60.786215785588055,82.41308793456032,87.14086345446297,-17.586912065439673,288.86666666666633,0.0,4.639964713389358,2.5115094282468102,2.128455285142548,0.0173712874693581,4.690696229826981,-4.673324942357623,4376.976116144253,-2.6901874310915064,-2.727035327968963,19.173642992168503,2.690187431091516,4479.0,1,-3.896797522648143,0.5401428439743938,-3.738323171353983,-0.1604178477833642,0.5891508835462673,1.1459583268350002,-0.808074163986575,-0.0645578984603076,0.2613259494028312,0.3263208931374493
2021-09-29,4395.0,4500.0,4376.0,4479.0,4479.0,674233,6621755.484211473,14856086,0.3206833939053509,282127812.593854,-873585.2442701558,840435.797327072,-9659.90613590047,4113.869414404624,87.77437881075002,1010.1148524791384,4159.5,4833.77249684382,3485.22750315618,32.42084369966678,0.7369220170595251,0.0,0.0,4139.866666666667,4354.366666666667,3925.3666666666654,10.3626525814036,1.29052059052059,1.0,0.0,3607.0,4585.0,4096.0,23.51244139920664,0.8916155419222904,214.5,0.0,197.56095741924764,117.66134526670947,79.89961215253815,4159.5,4159.5,4180.354856355273,3982.7938989360255,1.1769268383158815,0.5277623214797579,0.6491645168361239,0.4234977775011154,11.755212129228305,-203.2199999999998,51.36643513603683,-4.486865514143714,55.85330065018054,4130.5,4096.0,4113.25,4096.0,0.0,0.0,0.0,0.0,65.07492590892016,3984.7265,4011.553,32.0,4.0,28.0,3957.2824,3729.0,0.0,0.0,81.82570232791616,0.0,0.0,0.0,86.8143651565582,61.868769528344,89.16155419222903,88.82072256305385,-10.83844580777096,327.84999999999945,0.0,4.960361053882919,3.0012797533740323,1.959081300508887,-5.5825292730609934,2.6360511292493864,-8.21858040231038,4411.054687695412,1.4955812372535735,1.4845076937753277,20.95598163651093,-1.4955812372535746,4413.0,2,0.718211146331285,0.4706836319418244,2.8828886261368325,1.7120505953568994,0.5531391237104373,1.850715434692645,1.953308831155212,1.6534315840327736,-2.7469227644648697,0.9094290480840924
