Date,Open,High,Low,Close,Adj Close,Volume,volume_adi,volume_obv,volume_cmf,volume_fi,volume_em,volume_sma_em,volume_vpt,volume_vwap,volume_mfi,volume_nvi,volatility_bbm,volatility_bbh,volatility_bbl,volatility_bbw,volatility_bbp,volatility_bbhi,volatility_bbli,volatility_kcc,volatility_kch,volatility_kcl,volatility_kcw,volatility_kcp,volatility_kchi,volatility_kcli,volatility_dcl,volatility_dch,volatility_dcm,volatility_dcw,volatility_dcp,volatility_atr,volatility_ui,trend_macd,trend_macd_signal,trend_macd_diff,trend_sma_fast,trend_sma_slow,trend_ema_fast,trend_ema_slow,trend_vortex_ind_pos,trend_vortex_ind_neg,trend_vortex_ind_diff,trend_trix,trend_mass_index,trend_dpo,trend_kst,trend_kst_sig,trend_kst_diff,trend_ichimoku_conv,trend_ichimoku_base,trend_ichimoku_a,trend_ichimoku_b,trend_stc,trend_adx,trend_adx_pos,trend_adx_neg,trend_cci,trend_visual_ichimoku_a,trend_visual_ichimoku_b,trend_aroon_up,trend_aroon_down,trend_aroon_ind,trend_psar_up,trend_psar_down,trend_psar_up_indicator,trend_psar_down_indicator,momentum_rsi,momentum_stoch_rsi,momentum_stoch_rsi_k,momentum_stoch_rsi_d,momentum_tsi,momentum_uo,momentum_stoch,momentum_stoch_signal,momentum_wr,momentum_ao,momentum_roc,momentum_ppo,momentum_ppo_signal,momentum_ppo_hist,momentum_pvo,momentum_pvo_signal,momentum_pvo_hist,momentum_kama,others_dr,others_dlr,others_cr,Adj Close Percent,Future Price,DayOfWeek,asx_LNW.AX_2021-09-15_2023-09-15_Close_percent,jpx_5108.T_2021-09-15_2023-09-15_Close_percent,jpx_6501.T_2021-09-15_2023-09-15_Close_percent,ssx_601088.SS_2021-09-15_2023-09-15_Close_percent,ssx_600028.SS_2021-09-15_2023-09-15_Close_percent,jpx_9983.T_2021-09-15_2023-09-15_Close_percent,jpx_6301.T_2021-09-15_2023-09-15_Close_percent,ssx_003816.SZ_2021-09-15_2023-09-15_Close_percent,asx_EDV.AX_2021-09-15_2023-09-15_Close_percent,jpx_4901.T_2021-09-15_2023-09-15_Close_percent
2021-09-15,11150.0,11691.0,11150.0,11385.0,11180.6279296875,69081,-9066.083179297597,69081,-0.1312384473197781,0.0,0.0,0.0,11446.948292963543,11408.666666666666,50.0,1000.0,11385.0,11385.0,11385.0,0.0,0.0,0.0,0.0,11408.666666666666,11949.666666666666,10867.666666666666,9.484017998013208,0.4781269254467042,0.0,0.0,11150.0,11691.0,11420.5,4.7518664909969255,0.4343807763401109,0.0,0.0,0.0,0.0,0.0,11385.0,11385.0,11385.0,11385.0,0.0,0.0,0.0,16.053683408347847,1.0,-1577.6540000000005,160.86451931032113,160.86451931032113,0.0,11420.5,11420.5,11420.5,11420.5,0.0,0.0,0.0,0.0,0.0,9761.8225,9795.083,4.0,4.0,0.0,11301.0,11691.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,43.43807763401109,43.43807763401109,-56.561922365988906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11385.0,16.08645193103211,0.0,0.0,-0.0,11215.982421875,2,0.383450506896145,0.0406632895459951,0.069515544173325,0.131572152667317,0.1249262103712191,0.0499999996098464,0.1089096269922245,0.0404591996407265,-0.0103430405383131,-0.0072997914732889
2021-09-16,11301.0,11717.0,11226.0,11421.0,11215.982421875,87301,-27024.130022474783,156382,-0.17280844357071,3142836.0,28683520.234590672,28683520.234590672,11388.73245136167,11434.346386839065,100.0,1000.0,11403.0,11439.0,11367.0,0.6314127861089187,0.75,0.0,0.0,11431.666666666666,11947.666666666666,10915.666666666666,9.027555037177432,0.4896640826873391,0.0,0.0,11150.0,11717.0,11433.5,4.972375690607735,0.4779541446208112,0.0,0.0,2.871794871796737,0.5743589743593475,2.29743589743739,11403.0,11403.0,11390.538461538465,11387.666666666666,0.2387716273612913,0.1958180012751331,0.0429536260861582,0.0006175889328063,1.9851576994434137,-1595.6540000000005,162.6998782341319,161.7821987722265,0.9176794619053794,11433.5,11433.5,11433.5,11433.5,0.0,0.0,0.0,0.0,66.66666666666667,9761.8225,9795.083,8.0,4.0,4.0,11301.0,11691.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,18.8953488372093,47.795414462081126,45.61674604804611,-52.20458553791888,0.0,0.0,0.0252184662219073,0.0050436932443814,0.0201747729775258,2.0636579583207824,0.4127315916641565,1.6509263666566258,11404.18707717319,0.3162055335968361,0.3157066552766707,0.3162055335968361,0.3162120447065888,11293.564453125,3,0.383450506896145,0.7965112270574366,-0.6677789238660665,1.2680271948335644,-1.6913353866108878,0.9481212817743055,0.9214861183301366,-2.3333334737234,0.1543133927818587,-1.2581077664318627
2021-09-17,11450.0,11880.0,11362.0,11500.0,11293.564453125,196070,-118624.40029274503,352452,-0.3365689520636712,4906649.428571429,39496608.35415923,34090064.29437495,1632.2829718364303,11515.744753895564,100.0,1000.0,11435.333333333334,11531.393499664418,11339.27316700225,1.6800588759590358,0.8365946007410792,0.0,0.0,11481.333333333334,11998.0,10964.666666666666,9.000116130530722,0.5180645161290326,0.0,0.0,11150.0,11880.0,11515.0,6.3837229639130175,0.4794520547945205,0.0,0.0,11.391043903866375,2.737695960260753,8.653347943605622,11435.333333333334,11435.333333333334,11407.378698224851,11395.987654320988,0.422103715134959,0.2834766964870323,0.1386270186479267,0.0029764171691407,2.9693627359506403,-1627.9873333333344,165.99672667134757,163.18704140526685,2.80968526608072,11515.0,11515.0,11515.0,11515.0,0.0,0.0,0.0,0.0,99.99999999999817,9761.8225,9795.083,12.0,4.0,8.0,11301.0,11691.0,0.0,1.0,100.0,0.0,0.0,0.0,100.0,21.48387096774193,47.945205479452056,46.392899191848095,-52.05479452054794,0.0,0.0,0.0999566184993826,0.0240262782953817,0.0759303402040009,14.11179084007252,3.1525434413458298,10.959247398726692,11405.509308849589,0.6917082567200694,0.6893269300734417,1.0101010101010166,0.6917096365868787,11284.7255859375,4,0.383450506896145,0.1316946416490481,0.8250574737656962,-6.649388987187919,-0.0,-0.3521993292701495,0.7199361411735197,1.0238920801515974,-0.7704094659136445,-0.8898816249018751
2021-09-20,11301.0,11572.0,11301.0,11491.0,11284.7255859375,34826,-104616.8947576897,317626,-0.2701338437961612,4160923.224489797,-143569459.59915006,-25129777.00346672,1328.9772485162723,11510.25230282467,89.12889257364364,999.217391304348,11449.25,11545.39962298418,11353.10037701582,1.6795794132223436,0.7171095356602154,0.0,0.0,11474.666666666666,11929.916666666666,11019.416666666666,7.934871020218452,0.5179388614314486,0.0,0.0,11150.0,11880.0,11515.0,6.375963491058366,0.4671232876712329,0.0,0.0,17.217908029802857,5.633738374169174,11.584169655633684,11449.25,11449.25,11420.243513882568,11403.025605852765,0.4523250646246396,0.4422101784834877,0.0101148861411519,0.0062399972415352,3.8779756209851617,-1641.9040000000005,167.41573102447904,164.2442138100699,3.1715172144091355,11515.0,11515.0,11515.0,11515.0,0.0,0.0,0.0,0.0,-25.15723270440252,9761.8225,9795.083,12.0,4.0,8.0,11301.0,11717.0,0.0,0.0,92.0633492306308,0.0,0.0,0.0,99.45873605947956,28.720483250961006,46.71232876712329,47.48431623621882,-53.28767123287671,0.0,0.0,0.1509942064934548,0.0494198639349963,0.1015743425584585,7.771915481556829,4.076417849388029,3.6954976321688,11407.202631922291,-0.0782608695652165,-0.0782915093706648,0.9310496267018076,-0.0782646366803589,11532.2021484375,0,0.383450506896145,0.1316946416490481,0.8250574737656962,-6.649388987187919,-0.0,-0.3521993292701495,0.7199361411735197,1.0238920801515974,2.173900701077187,-0.8898816249018751
2021-09-21,11920.0,11803.0,11500.0,11743.0,11532.2021484375,62688,-66755.825450759,380314,-0.148357488011892,5823273.620991254,103919410.41347626,7132519.850769024,1347.505638862929,11534.179709874375,90.93747591419516,999.217391304348,11508.0,11758.241483371565,11257.758516628435,4.349000406179405,0.9695464493612114,0.0,0.0,11516.133333333331,11940.933333333332,11091.333333333332,7.377476236236704,0.7670276208411813,0.0,0.0,11150.0,11880.0,11515.0,6.343413277719848,0.8123287671232877,0.0,0.0,41.68946359251822,12.844883417838982,28.84458017467924,11508.0,11508.0,11469.898357900634,11428.208894308116,0.5561543237618013,0.423229700079467,0.1329246236823342,0.0142795356342291,4.747744058338606,-1700.6540000000005,173.40613862302817,166.07659877266155,7.329539850366615,11515.0,11515.0,11515.0,11515.0,0.0,0.0,0.0,0.0,119.98456790123436,9761.8225,9795.083,20.0,4.0,16.0,11301.0,11717.0,1.0,0.0,97.66101674170208,0.0,0.0,0.0,99.09638277279684,36.33380215658696,81.23287671232876,58.63013698630137,-18.767123287671232,0.0,0.0,0.3647943783498908,0.1124947668179752,0.2522996115319156,5.212964175113753,4.303727114533174,0.9092370605805788,11597.90471489024,2.193020624836839,2.169319810744597,3.1444883618796604,2.1930224232337,11784.5888671875,1,0.383450506896145,-0.3569979851596372,-2.3640053286474654,-6.649388987187919,-0.0,-2.3039750966869263,-5.352158895729758,1.0238920801515974,2.5835987304159005,-1.0917247670272872
2021-09-22,11880.0,12177.0,11846.5,12000.0,11784.5888671875,210856,-81748.61213759713,591170,-0.1237074615215551,12732804.817992505,56466320.61691392,16999280.003998004,5989.424143222603,11685.313764775789,94.24672216118722,999.217391304348,11590.0,12022.046293815836,11157.953706184164,7.455501187503644,0.974486190332611,0.0,0.0,11598.083333333334,12007.166666666666,11189.0,7.05432650509782,0.9912405785292328,0.0,0.0,11150.0,12177.0,11663.5,8.861087144089733,0.8276533592989289,0.0,0.0,80.88866565911849,26.45363986609488,54.435025793023605,11590.0,11590.0,11551.452456685152,11470.563791026034,0.6675782562855945,0.3873744326224264,0.2802038236631681,0.0295502104769739,5.6033933777957365,-1782.6540000000005,181.76721816483283,168.69170200469011,13.075516160142712,11663.5,11663.5,11663.5,11663.5,0.0,0.0,0.0,0.0,166.00270087778458,9761.8225,9795.083,24.0,4.0,20.0,11301.0,11717.0,0.0,0.0,98.68197865017277,0.0,0.0,0.0,98.91328184279875,40.20257109466303,82.7653359298929,70.23684713644832,-17.234664070107108,36.32500000000073,0.0,0.7051847418555096,0.2310327618254821,0.4741519800300275,16.542179815516782,6.751417654729896,9.790762160786889,11766.96490641258,2.1885378523375687,2.164933140505632,5.401844532279321,2.18853880205522,11899.48828125,2,0.383450506896145,-1.2068730477546836,-1.909038672790885,9.990746506697036,4.677059609961304,1.7821234271331292,-1.2341098833897632,8.783789090712887,-0.2963042876889403,-0.9387217682045588
2021-09-23,12178.0,12249.0,11900.0,12117.0,11899.48828125,94221,-58800.804114674494,685391,-0.0778774243515594,12488669.415422147,23242960.69878265,18039893.453128777,5533.318123924892,11735.647737501926,95.05846310206776,1008.9597608695652,11665.285714285714,12209.370491593403,11121.200936978024,9.328271773770377,0.9151138798162262,0.0,0.0,11668.166666666666,12068.666666666666,11267.666666666666,6.864831664500279,1.0603412401165218,1.0,0.0,11150.0,12249.0,11699.5,9.421115152405797,0.8798908098271155,0.0,0.0,120.0118163875468,45.16527517038527,74.84654121716152,11665.285714285714,11665.285714285714,11638.459771041282,11518.447954653737,0.7073831309141339,0.4206728229154093,0.2867103079987245,0.0509467551238227,6.45984854427334,-1857.9397142857144,189.44367969537475,171.65627024621648,17.787409449158275,11699.5,11699.5,11699.5,11699.5,0.0,0.0,0.0,0.0,126.76571920757938,9761.8225,9795.083,28.000000000000004,4.0,24.000000000000004,11336.04,11717.0,0.0,0.0,98.91431787459832,0.0,0.0,0.0,98.8238574052352,42.83264746227709,87.98908098271156,83.9957645416444,-12.010919017288444,89.44285714285616,0.0,1.0419096119547866,0.393208131851343,0.6487014801034436,14.706167787889376,8.342367681361793,6.363800106527583,11991.49396984908,0.9749999999999924,0.9702775461386536,6.429512516469038,0.9749972218582884,11401.58984375,3,0.383450506896145,-1.2068730477546836,-1.909038672790885,-1.471826132619583,-1.2765891903703874,1.7821234271331292,-1.2341098833897632,4.347818239064978,1.7830563355646945,-0.9387217682045588
2021-09-27,12263.0,12252.0,11574.0,11610.0,11401.58984375,105457,-153058.83066334703,579934,-0.1778719705558943,3066473.9275047,-103830945.31420387,629773.629224111,-3493.88127376826,11745.004949060623,82.35138372265665,1008.9597608695652,11658.375,12168.631736849204,11148.118263150796,8.753479568965753,0.4525973921493798,0.0,0.0,11686.145833333332,12121.333333333332,11250.958333333332,7.447921773467516,0.4125137632246651,0.0,0.0,11150.0,12252.0,11701.0,9.452432264359311,0.4174228675136116,0.0,0.0,108.85175708489078,57.90257155328638,50.9491855316044,11658.375,11658.375,11634.081344727238,11525.229587642349,0.6815344968474598,0.4996299112718857,0.1819045855755741,0.0667170899121171,7.436885969040646,-1851.0290000000005,188.73903296569745,173.7916155861516,14.947417379545811,11701.0,11701.0,11701.0,11701.0,0.0,0.0,0.0,0.0,39.48075713387126,9761.8225,9795.083,28.000000000000004,4.0,24.000000000000004,11390.8176,11717.0,0.0,0.0,54.26997174722545,0.0,0.0,0.0,78.95205969042604,39.37444209458327,41.74228675136116,70.8322345546552,-58.25771324863884,117.41875000000071,0.0,0.9444649779610852,0.5034595010732915,0.4410054768877938,14.00589099595934,9.475072344281305,4.530818651678036,11955.295478036733,-4.184204010893788,-4.274262953958541,1.976284584980248,-4.184200410403676,11293.564453125,0,0.383450506896145,0.5233616386195052,4.747309217526407,0.1369866951556844,-1.7621186935651425,2.308689916615577,-0.2195709392645994,-0.9146352972936428,-1.3100457985293446,0.6127342145188948
2021-09-28,11545.0,11722.0,11327.0,11500.0,11293.564453125,156657,-172492.23066334703,423277,-0.1695827002747334,166653.3664326002,-97957639.93948562,-11693653.066864606,-5896.797005680404,11709.78618803849,68.99374082405156,1008.9597608695652,11640.777777777776,12132.04351512505,11149.512040430503,8.440428066328995,0.3567193200385328,0.0,0.0,11667.277777777776,12098.0,11236.555555555557,7.383422773092844,0.3058171030568818,0.0,0.0,11150.0,12252.0,11701.0,9.466721391277789,0.3176043557168784,0.0,0.0,90.09271623996392,64.3406004906219,25.752115749342025,11640.777777777776,11640.777777777776,11613.453445538433,11523.360729298469,0.6588011900247089,0.6361065440480571,0.0226946459766518,0.0760182046017855,8.395977916823439,-1833.4317777777776,186.9447430301509,175.2530741910404,11.691668839110491,11701.0,11701.0,11701.0,11701.0,0.0,0.0,0.0,0.0,-49.14681941513384,9761.8225,9795.083,28.000000000000004,4.0,24.000000000000004,11390.8176,12252.0,0.0,1.0,49.09277901924801,0.0,0.0,0.0,63.69419343435701,40.07148214525061,31.76043557168784,53.83060110192019,-68.23956442831216,154.5222222222219,0.0,0.7818267461757112,0.5591329500937755,0.2226937960819357,17.1499496357448,11.010047802574004,6.139901833170796,11931.648923872584,-0.9474590869939736,-0.951976034059676,1.0101010101010166,-0.9474590132201256,11563.6279296875,1,0.383450506896145,0.8367325440958808,1.359659544088032,4.012762329801859,6.278021689437736,-0.2662324813611576,1.577120817755997,7.69231486964614,-0.4424711152309157,-0.8729280285703851
2021-09-29,11639.0,11775.0,11523.0,11775.0,11563.6279296875,54997,-117495.23066334704,478274,-0.1095880168924865,2303442.171227943,57046748.00443661,-4055830.725608915,-169.1153297382316,11708.822535444224,70.68818869532548,1033.0870594990547,11654.2,12127.16240865422,11181.237591345782,8.116600172542412,0.6277057095760814,0.0,0.0,11669.65,12082.5,11256.8,7.075619234510039,0.6275887126074848,0.0,0.0,11150.0,12252.0,11701.0,9.455818503200565,0.5671506352087115,426.4,0.0,96.30608633308292,70.7336976591141,25.57238867396883,11654.2,11654.2,11638.306761609443,11542.00067527636,0.7063927968446063,0.6403997821160357,0.0659930147285706,0.0851442573344596,9.293742012579152,-1846.8540000000007,188.313331659758,178.30294222986674,10.010389429891234,11739.0,11701.0,11720.0,11701.0,0.0,0.0,0.0,0.0,7.625680864363012,9761.8225,9795.083,28.000000000000004,4.0,24.000000000000004,11390.8176,12252.0,0.0,0.0,59.49580025712241,0.0,0.0,0.0,55.75559967334848,46.895039509441794,56.71506352087114,43.40592861464004,-43.28493647912886,157.17499999999927,0.0,0.834396817697093,0.614185723614439,0.2202110940826539,11.61997300127129,11.13203284231346,0.48794015895783,11921.414670993034,2.3913043478260843,2.363160453327673,3.4255599472990728,2.3913041598462854,11612.73046875,2,0.383450506896145,-0.1659578851843406,-3.870214205887464,-2.8057787120439883,-5.907168377468636,0.5211603162182143,-0.3297297168154642,-4.28571944290016,1.1851795343677909,-0.8135001144581793
